Instances,feature_ stacks,feature_ tiers,feature_ stacktierratio,feature_ containerdensity,feature_ emptystackpct,feature_ overstowingstackpct,feature_ overstowing2contstackpct,feature_ groupsamemin,feature_ groupsamemax,feature_ groupsamemean,feature_ groupsamestdev,feature_ topgoodmin,feature_ topgoodmax,feature_ topgoodmean,feature_ topgoodstdev,feature_ overstowagepct,feature_ bflb,feature_ leftdensity,feature_ tierweightedgroups,feature_ avgl1topleftlggroup,feature_ contemptygrtestack,feature_ pctbottompctontop,algo_astar-symmulgt-transmul,algo_astar-symmullt-transmul,algo_idastar-symmulgt-transmul,algo_idastar-symmullt-transmul
BF10_cpmp_16_8_77_16_58_13,16.0,8.0,0.5,0.601562,0.1875,0.625,0.909091,0.0,6.0,4.52941,1.37702,2.0,12.0,8.0,3.4641,0.453125,58.0,0.677778,0.401784,0.49375,0.289062,0.0625,NaN,NaN,311.863,NaN
BF10_cpmp_16_8_77_16_58_3,16.0,8.0,0.5,0.601562,0.1875,0.625,1.0,0.0,8.0,4.52941,1.57621,3.0,15.0,6.9,3.61801,0.453125,58.0,0.531944,0.392541,0.65625,0.296875,0.0,NaN,NaN,78.121,600.402
BF10_cpmp_16_8_77_16_58_8,16.0,8.0,0.5,0.601562,0.25,0.625,1.0,0.0,6.0,4.52941,1.33362,2.0,12.0,6.1,3.36006,0.453125,58.0,0.555556,0.375117,0.6875,0.304688,0.0625,NaN,NaN,0.012,60.72
BF11_cpmp_16_8_77_31_47_10,16.0,8.0,0.5,0.601562,0.0,0.75,0.8,0.0,5.0,2.40625,0.896499,2.0,26.0,11.8333,7.32386,0.367188,49.0,0.377778,0.441853,0.53125,0.0,0.0625,NaN,92.986,2031.039,141.857
BF11_cpmp_16_8_77_31_47_11,16.0,8.0,0.5,0.601562,0.0,0.9375,0.9375,0.0,5.0,2.40625,1.34302,2.0,23.0,10.8667,6.05383,0.367188,49.0,0.513889,0.438422,0.8125,0.0,0.0,NaN,NaN,422.53,NaN
BF11_cpmp_16_8_77_31_47_16,16.0,8.0,0.5,0.601562,0.0,0.875,0.875,0.0,5.0,2.40625,0.963696,2.0,17.0,10.2857,4.39852,0.367188,51.0,0.4,0.481308,0.65625,0.0,0.0,182.019,NaN,66.988,249.488
BF11_cpmp_16_8_77_31_47_6,16.0,8.0,0.5,0.601562,0.0,1.0,1.0,0.0,7.0,2.40625,1.19529,2.0,25.0,12.5,6.99107,0.367188,51.0,0.266667,0.475875,0.359375,0.0,0.0,NaN,NaN,NaN,1121.786
BF11_cpmp_16_8_77_31_47_7,16.0,8.0,0.5,0.601562,0.0,0.9375,0.9375,0.0,5.0,2.40625,1.08568,2.0,26.0,11.7333,6.9519,0.367188,49.0,0.505556,0.499464,0.625,0.0,0.125,2.28,NaN,14.481,758.815
BF12_cpmp_16_8_77_31_58_14,16.0,8.0,0.5,0.601562,0.125,0.75,1.0,0.0,6.0,2.40625,1.08568,3.0,29.0,14.1667,7.74417,0.453125,58.0,0.443056,0.407667,0.510417,0.226562,0.0625,NaN,NaN,2816.652,1246.814
BF17_cpmp_20_5_60_12_36_1,20.0,5.0,0.25,0.6,0.1,0.55,0.785714,0.0,7.0,4.61538,1.54613,2.0,12.0,6.36364,3.11223,0.36,36.0,0.581295,0.449188,0.666667,0.17,0.05,0.052,0.332,0.004,0.076
BF17_cpmp_20_5_60_12_36_10,20.0,5.0,0.25,0.6,0.15,0.6,1.0,0.0,8.0,4.61538,1.68881,2.0,11.0,6.0,2.48328,0.36,36.0,0.513669,0.441239,0.613333,0.15,0.05,NaN,NaN,0.004,0.032
BF17_cpmp_20_5_60_12_36_11,20.0,5.0,0.25,0.6,0.05,0.65,0.928571,0.0,7.0,4.61538,1.59511,2.0,10.0,4.61538,2.33826,0.36,37.0,0.405755,0.427051,0.480952,0.09,0.0,1.096,NaN,NaN,NaN
BF17_cpmp_20_5_60_12_36_12,20.0,5.0,0.25,0.6,0.05,0.65,1.0,0.0,7.0,4.61538,1.59511,2.0,10.0,5.23077,2.69341,0.36,36.0,0.168345,0.419701,0.42,0.14,0.1,10.053,0.024,NaN,NaN
BF17_cpmp_20_5_60_12_36_15,20.0,5.0,0.25,0.6,0.25,0.65,0.928571,0.0,8.0,4.61538,1.77757,2.0,11.0,5.92308,2.46394,0.36,36.0,0.690647,0.394017,0.633333,0.35,0.0,0.024,0.616,0.004,0.004
BF17_cpmp_20_5_60_12_36_16,20.0,5.0,0.25,0.6,0.15,0.65,0.866667,0.0,7.0,4.61538,1.54613,2.0,11.0,5.53846,2.70656,0.36,36.0,0.117986,0.435256,0.626667,0.3,0.05,1.008,106.643,2602.087,38.226
BF17_cpmp_20_5_60_12_36_17,20.0,5.0,0.25,0.6,0.15,0.65,0.928571,0.0,6.0,4.61538,1.49556,3.0,10.0,5.46154,2.06119,0.36,36.0,0.433094,0.43265,0.672222,0.31,0.1,33.774,22.953,0.004,89.422
BF17_cpmp_20_5_60_12_36_2,20.0,5.0,0.25,0.6,0.05,0.6,0.8,0.0,8.0,4.61538,1.82033,2.0,10.0,5.25,2.34965,0.36,36.0,0.302158,0.443761,0.491667,0.19,0.1,0.044,0.08,NaN,NaN
BF17_cpmp_20_5_60_12_36_20,20.0,5.0,0.25,0.6,0.1,0.7,0.933333,0.0,8.0,4.61538,1.77757,2.0,12.0,6.07143,3.26156,0.36,36.0,0.546763,0.452735,0.670833,0.14,0.05,0.024,0.1,NaN,67.956
BF17_cpmp_20_5_60_12_36_3,20.0,5.0,0.25,0.6,0.05,0.65,0.8125,0.0,7.0,4.61538,1.54613,2.0,10.0,5.30769,2.64239,0.36,37.0,0.610072,0.440812,0.6,0.21,0.0,0.028,0.092,NaN,NaN
BF17_cpmp_20_5_60_12_36_4,20.0,5.0,0.25,0.6,0.15,0.55,0.733333,0.0,7.0,4.61538,1.68881,2.0,7.0,4.45455,1.97086,0.36,37.0,0.296403,0.394701,0.258333,0.24,0.0,171.987,0.032,NaN,NaN
BF17_cpmp_20_5_60_12_36_5,20.0,5.0,0.25,0.6,0.05,0.75,0.882353,0.0,7.0,4.61538,1.49556,2.0,11.0,5.73333,2.86279,0.36,37.0,0.398561,0.466966,0.526667,0.08,0.0,NaN,2.64,NaN,NaN
BF17_cpmp_20_5_60_12_36_6,20.0,5.0,0.25,0.6,0.05,0.75,1.0,0.0,7.0,4.61538,1.49556,2.0,10.0,5.0,2.47656,0.36,36.0,0.661871,0.427265,0.493333,0.11,0.05,0.028,NaN,0.004,NaN
BF17_cpmp_20_5_60_12_36_7,20.0,5.0,0.25,0.6,0.05,0.55,0.785714,0.0,7.0,4.61538,1.59511,2.0,9.0,5.54545,2.31059,0.36,36.0,0.156835,0.427479,0.44,0.18,0.0,0.156,NaN,NaN,NaN
BF17_cpmp_20_5_60_12_36_8,20.0,5.0,0.25,0.6,0.1,0.75,0.9375,0.0,8.0,4.61538,2.13175,2.0,11.0,4.93333,2.79205,0.36,36.0,0.425899,0.408889,0.666667,0.24,0.0,1.46,0.04,NaN,1.9
BF18_cpmp_20_5_60_12_45_1,20.0,5.0,0.25,0.6,0.25,0.7,1.0,0.0,6.0,4.61538,1.4432,2.0,11.0,5.92857,3.15015,0.45,45.0,0.538129,0.36953,0.46,0.39,0.05,0.06,NaN,NaN,526.597
BF18_cpmp_20_5_60_12_45_12,20.0,5.0,0.25,0.6,0.3,0.6,1.0,0.0,7.0,4.61538,1.54613,2.0,11.0,5.33333,2.71825,0.45,45.0,0.741007,0.345385,0.658333,0.3,0.05,NaN,0.132,0.004,36.754
BF18_cpmp_20_5_60_12_45_13,20.0,5.0,0.25,0.6,0.4,0.6,1.0,0.0,7.0,4.61538,1.68881,2.0,11.0,6.41667,2.8419,0.45,45.0,0.258993,0.357393,0.586667,0.4,0.15,0.032,NaN,NaN,79.909
BF18_cpmp_20_5_60_12_45_14,20.0,5.0,0.25,0.6,0.35,0.65,1.0,0.0,7.0,4.61538,1.59511,3.0,12.0,7.30769,3.07307,0.45,45.0,0.467626,0.380641,0.706667,0.4,0.05,88.109,162.306,0.004,68.552
BF18_cpmp_20_5_60_12_45_15,20.0,5.0,0.25,0.6,0.4,0.6,1.0,0.0,7.0,4.61538,1.59511,2.0,10.0,5.33333,2.65623,0.45,45.0,0.28777,0.331752,0.566667,0.4,0.0,0.036,87.281,123.636,0.124
BF18_cpmp_20_5_60_12_45_16,20.0,5.0,0.25,0.6,0.3,0.6,1.0,0.0,7.0,4.61538,1.54613,2.0,12.0,5.83333,2.99537,0.45,45.0,0.45036,0.378889,0.57619,0.36,0.05,0.144,0.032,0.004,0.008
BF18_cpmp_20_5_60_12_45_17,20.0,5.0,0.25,0.6,0.3,0.65,1.0,0.0,7.0,4.61538,1.59511,2.0,10.0,5.92308,3.19763,0.45,45.0,0.37554,0.403077,0.514286,0.37,0.05,0.04,0.056,0.004,NaN
BF18_cpmp_20_5_60_12_45_18,20.0,5.0,0.25,0.6,0.3,0.6,1.0,0.0,7.0,4.61538,1.68881,2.0,11.0,6.58333,2.81242,0.45,45.0,0.323741,0.38094,0.533333,0.4,0.05,0.248,NaN,0.004,3.552
BF18_cpmp_20_5_60_12_45_19,20.0,5.0,0.25,0.6,0.35,0.65,1.0,0.0,7.0,4.61538,1.54613,2.0,11.0,6.69231,2.99704,0.45,45.0,0.0935252,0.376154,0.558333,0.38,0.15,NaN,NaN,0.004,0.008
BF18_cpmp_20_5_60_12_45_2,20.0,5.0,0.25,0.6,0.3,0.6,1.0,0.0,7.0,4.61538,1.59511,4.0,12.0,7.08333,2.92855,0.45,45.0,0.379856,0.39312,0.393333,0.36,0.15,0.352,20.105,0.004,6.752
BF18_cpmp_20_5_60_12_45_3,20.0,5.0,0.25,0.6,0.3,0.6,1.0,0.0,7.0,4.61538,1.73376,2.0,11.0,5.25,2.71186,0.45,45.0,0.814388,0.362051,0.766667,0.39,0.0,5.912,NaN,NaN,NaN
BF18_cpmp_20_5_60_12_45_4,20.0,5.0,0.25,0.6,0.25,0.6,1.0,0.0,6.0,4.61538,1.4432,2.0,12.0,5.83333,2.85287,0.45,45.0,0.151079,0.385043,0.55,0.35,0.1,0.044,NaN,0.06,NaN
BF18_cpmp_20_5_60_12_45_5,20.0,5.0,0.25,0.6,0.3,0.6,1.0,0.0,9.0,4.61538,2.20274,2.0,9.0,5.16667,2.54406,0.45,45.0,0.258993,0.364231,0.622222,0.4,0.15,NaN,0.032,0.116,NaN
BF18_cpmp_20_5_60_12_45_6,20.0,5.0,0.25,0.6,0.4,0.6,1.0,0.0,6.0,4.61538,1.49556,3.0,10.0,6.5,2.5658,0.45,45.0,0.438849,0.365812,0.613333,0.4,0.0,NaN,NaN,0.004,NaN
BF18_cpmp_20_5_60_12_45_7,20.0,5.0,0.25,0.6,0.3,0.65,1.0,0.0,7.0,4.61538,1.54613,2.0,11.0,5.92308,3.04988,0.45,45.0,0.359712,0.379829,0.526667,0.37,0.05,1.256,NaN,0.004,NaN
BF18_cpmp_20_5_60_12_45_8,20.0,5.0,0.25,0.6,0.35,0.6,1.0,0.0,8.0,4.61538,1.94297,2.0,12.0,5.5,2.81366,0.45,45.0,0.699281,0.381581,0.55,0.4,0.1,1.6,167.146,0.004,2.684
BF18_cpmp_20_5_60_12_45_9,20.0,5.0,0.25,0.6,0.3,0.6,1.0,0.0,6.0,4.61538,1.38888,2.0,11.0,7.0,2.41523,0.45,45.0,0.143885,0.387778,0.486667,0.4,0.1,NaN,0.028,0.004,0.004
BF19_cpmp_20_5_60_24_36_1,20.0,5.0,0.25,0.6,0.1,0.7,0.933333,0.0,5.0,2.4,0.979796,2.0,21.0,10.1429,5.9983,0.36,36.0,0.505036,0.418044,0.85,0.2,0.1,NaN,NaN,1.788,NaN
BF19_cpmp_20_5_60_24_36_10,20.0,5.0,0.25,0.6,0.15,0.7,0.875,0.0,6.0,2.4,1.13137,2.0,20.0,10.8571,5.70535,0.36,36.0,0.342446,0.451756,0.622222,0.29,0.0,NaN,321.764,1.528,37.138
BF19_cpmp_20_5_60_24_36_11,20.0,5.0,0.25,0.6,0.1,0.5,0.769231,0.0,5.0,2.4,0.938083,4.0,24.0,9.4,5.78273,0.36,36.0,0.630216,0.393667,0.566667,0.2,0.0,NaN,1.392,0.004,1.036
BF19_cpmp_20_5_60_24_36_14,20.0,5.0,0.25,0.6,0.0,0.7,0.933333,0.0,4.0,2.4,0.748331,2.0,16.0,8.21429,4.00319,0.36,36.0,0.425899,0.419644,0.822222,0.0,0.0,0.036,NaN,0.004,1490.277
BF19_cpmp_20_5_60_24_36_15,20.0,5.0,0.25,0.6,0.05,0.65,0.866667,0.0,5.0,2.4,1.0583,2.0,21.0,7.76923,5.0559,0.36,36.0,0.391367,0.394756,0.6,0.06,0.0,NaN,247.087,NaN,NaN
BF19_cpmp_20_5_60_24_36_16,20.0,5.0,0.25,0.6,0.05,0.65,0.928571,0.0,4.0,2.4,0.848528,3.0,17.0,9.23077,4.50903,0.36,37.0,0.346763,0.412489,0.416667,0.18,0.0,6.66,0.18,NaN,NaN
BF19_cpmp_20_5_60_24_36_17,20.0,5.0,0.25,0.6,0.05,0.55,0.916667,0.0,4.0,2.4,0.979796,2.0,19.0,8.36364,5.22708,0.36,36.0,0.0748201,0.407311,0.677778,0.12,0.1,0.036,NaN,7.768,NaN
BF19_cpmp_20_5_60_24_36_18,20.0,5.0,0.25,0.6,0.05,0.65,0.866667,0.0,4.0,2.4,0.8,2.0,20.0,10.0769,5.10598,0.36,36.0,0.277698,0.433467,0.777778,0.27,0.0,188.192,14.485,0.016,2.704
BF19_cpmp_20_5_60_24_36_2,20.0,5.0,0.25,0.6,0.05,0.6,1.0,0.0,5.0,2.4,0.979796,3.0,20.0,10.1667,4.82758,0.36,36.0,0.456115,0.424467,0.811111,0.06,0.0,1.948,NaN,0.472,3.312
BF19_cpmp_20_5_60_24_36_20,20.0,5.0,0.25,0.6,0.2,0.55,0.846154,0.0,4.0,2.4,1.0198,2.0,22.0,8.54545,6.21382,0.36,36.0,0.541007,0.387467,0.683333,0.4,0.15,22.129,NaN,0.004,263.444
BF19_cpmp_20_5_60_24_36_3,20.0,5.0,0.25,0.6,0.2,0.7,0.933333,0.0,6.0,2.4,1.2,2.0,22.0,10.0714,6.46379,0.36,36.0,0.581295,0.384267,0.716667,0.34,0.0,NaN,NaN,0.004,NaN
BF19_cpmp_20_5_60_24_36_5,20.0,5.0,0.25,0.6,0.15,0.6,1.0,0.0,4.0,2.4,0.848528,2.0,23.0,10.75,6.70976,0.36,36.0,0.215827,0.403089,0.716667,0.16,0.05,3.572,0.124,0.004,0.008
BF19_cpmp_20_5_60_24_36_6,20.0,5.0,0.25,0.6,0.1,0.6,0.8,0.0,4.0,2.4,0.938083,2.0,24.0,8.58333,6.03405,0.36,37.0,0.323741,0.393222,0.883333,0.18,0.0,0.036,0.036,NaN,NaN
BF19_cpmp_20_5_60_24_36_7,20.0,5.0,0.25,0.6,0.15,0.55,1.0,0.0,4.0,2.4,1.0198,3.0,24.0,8.63636,5.80396,0.36,36.0,0.421583,0.402044,0.633333,0.28,0.1,5.156,69.512,0.004,2569.305
BF19_cpmp_20_5_60_24_36_8,20.0,5.0,0.25,0.6,0.0,0.75,0.9375,0.0,4.0,2.4,0.848528,4.0,21.0,11.2667,4.9189,0.36,39.0,0.497842,0.436444,0.622222,0.0,0.0,0.072,NaN,NaN,NaN
BF19_cpmp_20_5_60_24_36_9,20.0,5.0,0.25,0.6,0.05,0.65,1.0,0.0,5.0,2.4,0.894427,3.0,16.0,8.84615,4.12956,0.36,38.0,0.263309,0.405222,0.4,0.17,0.0,0.048,2.748,NaN,NaN
BF1_cpmp_16_5_48_10_29_1,16.0,5.0,0.3125,0.6,0.0625,0.625,0.909091,0.0,6.0,4.36364,1.55346,2.0,8.0,4.6,2.00998,0.3625,29.0,0.382222,0.441162,0.509615,0.175,0.0,0.028,0.804,0.004,NaN
BF1_cpmp_16_5_48_10_29_12,16.0,5.0,0.3125,0.6,0.1875,0.5625,1.0,0.0,7.0,4.36364,1.61091,2.0,9.0,4.55556,2.26623,0.3625,29.0,0.413333,0.427399,0.663462,0.3375,0.0,NaN,0.572,NaN,128.756
BF1_cpmp_16_5_48_10_29_14,16.0,5.0,0.3125,0.6,0.1875,0.625,0.833333,0.0,7.0,4.36364,1.72008,2.0,7.0,4.3,1.84662,0.3625,29.0,0.111111,0.405997,0.615385,0.2625,0.0,NaN,19.085,0.764,NaN
BF1_cpmp_16_5_48_10_29_15,16.0,5.0,0.3125,0.6,0.0625,0.5,0.888889,0.0,6.0,4.36364,1.61091,2.0,9.0,3.5,2.29129,0.3625,29.0,0.677778,0.409975,0.576923,0.1125,0.0,NaN,NaN,106.755,3588.976
BF1_cpmp_16_5_48_10_29_17,16.0,5.0,0.3125,0.6,0.125,0.5625,0.9,0.0,6.0,4.36364,1.55346,2.0,10.0,4.66667,2.44949,0.3625,29.0,0.471111,0.428914,0.569231,0.3375,0.0,NaN,0.552,0.008,0.008
BF1_cpmp_16_5_48_10_29_18,16.0,5.0,0.3125,0.6,0.0625,0.625,0.909091,0.0,6.0,4.36364,1.55346,2.0,8.0,4.5,1.85742,0.3625,29.0,0.151111,0.438952,0.615385,0.1375,0.0,0.032,0.048,0.096,50.831
BF1_cpmp_16_5_48_10_29_19,16.0,5.0,0.3125,0.6,0.0625,0.5625,0.818182,0.0,7.0,4.36364,1.77214,2.0,10.0,5.33333,2.10819,0.3625,29.0,0.648889,0.433775,0.528846,0.0625,0.0,0.024,0.504,0.004,0.568
BF1_cpmp_16_5_48_10_29_20,16.0,5.0,0.3125,0.6,0.125,0.625,0.769231,0.0,6.0,4.36364,1.55346,2.0,10.0,4.9,2.66271,0.3625,29.0,0.317778,0.436995,0.519231,0.2125,0.0,NaN,NaN,220.526,509.552
BF1_cpmp_16_5_48_10_29_3,16.0,5.0,0.3125,0.6,0.125,0.75,0.923077,0.0,6.0,4.36364,1.49379,2.0,9.0,4.33333,2.28522,0.3625,29.0,0.0666667,0.424242,0.740385,0.4,0.0,NaN,0.1,127.056,134.024
BF1_cpmp_16_5_48_10_29_4,16.0,5.0,0.3125,0.6,0.1875,0.625,0.909091,0.0,6.0,4.36364,1.49379,2.0,9.0,5.0,2.09762,0.3625,29.0,0.582222,0.414457,0.538462,0.25,0.0,7.936,6.476,84.661,15.057
BF1_cpmp_16_5_48_10_29_5,16.0,5.0,0.3125,0.6,0.125,0.5625,0.75,0.0,7.0,4.36364,1.72008,2.0,8.0,5.0,2.0,0.3625,29.0,0.495556,0.446907,0.5,0.2125,0.0,NaN,NaN,0.9,NaN
BF1_cpmp_16_5_48_10_29_6,16.0,5.0,0.3125,0.6,0.25,0.75,1.0,0.0,6.0,4.36364,1.49379,2.0,7.0,3.91667,1.65622,0.3625,29.0,0.277778,0.402399,0.429487,0.325,0.0,0.024,NaN,344.342,1055.966
BF1_cpmp_16_5_48_10_29_7,16.0,5.0,0.3125,0.6,0.0625,0.625,0.909091,0.0,5.0,4.36364,1.43164,2.0,8.0,4.3,2.05183,0.3625,29.0,0.728889,0.428977,0.507692,0.1625,0.0,0.248,8.537,0.004,1.256
BF1_cpmp_16_5_48_10_29_8,16.0,5.0,0.3125,0.6,0.125,0.5625,0.9,0.0,6.0,4.36364,1.55346,2.0,9.0,4.55556,2.00616,0.3625,29.0,0.646667,0.415909,0.548077,0.35,0.0,0.144,0.032,0.004,0.008
BF1_cpmp_16_5_48_10_29_9,16.0,5.0,0.3125,0.6,0.125,0.75,0.923077,0.0,6.0,4.36364,1.91988,2.0,8.0,4.66667,1.84089,0.3625,29.0,0.553333,0.426894,0.884615,0.2,0.0,0.132,NaN,0.004,NaN
BF20_cpmp_20_5_60_24_45_1,20.0,5.0,0.25,0.6,0.3,0.6,1.0,0.0,5.0,2.4,0.938083,2.0,23.0,10.6667,7.31817,0.45,45.0,0.755396,0.337667,0.483333,0.39,0.1,0.048,NaN,0.004,NaN
BF20_cpmp_20_5_60_24_45_10,20.0,5.0,0.25,0.6,0.4,0.6,1.0,0.0,4.0,2.4,0.848528,3.0,22.0,11.75,5.86124,0.45,45.0,0.856115,0.341156,0.816667,0.4,0.15,1.956,3.096,6.34,12.757
BF20_cpmp_20_5_60_24_45_11,20.0,5.0,0.25,0.6,0.35,0.65,1.0,0.0,7.0,2.4,1.49666,2.0,22.0,7.53846,5.28591,0.45,45.0,0.0,0.3126,0.4,0.4,0.2,11.177,376.04,112.059,NaN
BF20_cpmp_20_5_60_24_45_12,20.0,5.0,0.25,0.6,0.3,0.65,1.0,0.0,5.0,2.4,1.09545,3.0,24.0,11.0,6.02559,0.45,45.0,0.352518,0.342822,0.783333,0.4,0.05,NaN,65.732,NaN,NaN
BF20_cpmp_20_5_60_24_45_13,20.0,5.0,0.25,0.6,0.3,0.65,1.0,0.0,5.0,2.4,1.2,3.0,21.0,11.5385,5.87845,0.45,45.0,0.116547,0.386222,0.533333,0.33,0.1,NaN,0.08,0.004,0.036
BF20_cpmp_20_5_60_24_45_14,20.0,5.0,0.25,0.6,0.35,0.6,1.0,0.0,4.0,2.4,0.979796,3.0,20.0,10.8333,5.66912,0.45,45.0,0.62446,0.3544,0.583333,0.36,0.15,40.315,0.208,0.004,234.759
BF20_cpmp_20_5_60_24_45_15,20.0,5.0,0.25,0.6,0.3,0.6,1.0,0.0,4.0,2.4,0.8,2.0,21.0,9.66667,5.57275,0.45,45.0,0.791367,0.327711,0.5,0.34,0.0,NaN,NaN,0.004,NaN
BF20_cpmp_20_5_60_24_45_17,20.0,5.0,0.25,0.6,0.25,0.65,1.0,0.0,5.0,2.4,0.979796,6.0,23.0,13.6923,4.76178,0.45,45.0,0.156835,0.399933,0.4,0.38,0.25,NaN,0.032,0.004,1.204
BF20_cpmp_20_5_60_24_45_2,20.0,5.0,0.25,0.6,0.4,0.6,1.0,0.0,4.0,2.4,0.894427,4.0,22.0,12.0833,5.64887,0.45,45.0,0.791367,0.336444,0.683333,0.4,0.0,0.036,NaN,NaN,1165.425
